Uniq Id,Crawl Timestamp,Pageurl,Pdp Url,Product Id,Product Name,List Price,Sale Price,Discount Percentage,Brand,Product Rank,Size,Availability,Product Description,Seller,Category Url,Input Seed Url,Color,Average Rating,Total Number Of Ratings,Type,Sleeve,Fit,Fabric Or Material,Neck,Pattern,Fabric Care,Closure,Suitable For,Collar,Ideal For,Rise Style,Leg Style,Ocassion,Length,Sleeve Length,Sleeve Type,Wash Care,Darts,Star1 Count,Star2 Count,Star3 Count,Star4 Count,Star5 Count,Gender,Fulfilled By,Best Seller Rank 1,Best Seller Rank 2,Date First Available,Sub Category 1,Sub Category 2,Sub Category 3,Sub Category 4,Sub Category 5,Image 1,Image 2,Image 3,Billing Id,Variant
PROD100000,2023-11-08T00:00:00,https://myntra.com/product/100000,https://myntra.com/product/100000/details,100000,Raymond Navy Solid Casual Trousers,1642,1264,23,Raymond,30.58,29,In Stock,Professional trousers designed for the workplace. Premium fabric with wrinkle-resistant properties.,Raymond Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Navy,3.9,890,Casual Trousers,,Slim,Cotton,,Solid,Machine Wash,Button,Formal,,Men,Mid Rise,,Formal,,,,"Machine wash cold, tumble dry low",,28,62,133,222,445,Men,Myntra,971,,,Trousers,Casual Trousers,Men,Formal,,https://assets.myntra.com/images/100000/1.jpg,https://assets.myntra.com/images/100000/2.jpg,https://assets.myntra.com/images/100000/3.jpg,BILL100000,Navy
PROD100001,2023-11-16T00:00:00,https://myntra.com/product/100001,https://myntra.com/product/100001/details,100001,Adidas Pink Striped Printed Shirt,2247,1168,48,Adidas,21.65,31,In Stock,A sophisticated formal shirt perfect for office wear. Features premium cotton fabric with impeccable tailoring.,Adidas Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Pink,4.9,3174,Printed Shirt,Short Sleeve,Slim,Cotton Blend,Spread Collar,Striped,Machine Wash,Button,Office,Spread Collar,Men,,,Office,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,96,222,476,793,1587,Men,,143,,,Shirts,Printed Shirt,Men,Office,,https://assets.myntra.com/images/100001/1.jpg,https://assets.myntra.com/images/100001/2.jpg,https://assets.myntra.com/images/100001/3.jpg,BILL100001,Pink
PROD100002,2023-11-06T00:00:00,https://myntra.com/product/100002,https://myntra.com/product/100002/details,100002,Van Heusen Olive Striped Polo T-Shirt,2603,2290,12,Van Heusen,6.36,34,In Stock,Comfortable casual t-shirt perfect for everyday wear. Made from soft cotton for all-day comfort.,Van Heusen Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Olive,3.4,3028,Polo T-Shirt,Sleeveless,Slim,Polyester,Round Neck,Striped,Machine Wash,,Everyday,,Men,,,Everyday,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,92,211,454,757,1514,Men,,254,,,Tshirts,Polo T-Shirt,Men,Everyday,,https://assets.myntra.com/images/100002/1.jpg,https://assets.myntra.com/images/100002/2.jpg,https://assets.myntra.com/images/100002/3.jpg,BILL100002,Olive
PROD100003,2023-11-07T00:00:00,https://myntra.com/product/100003,https://myntra.com/product/100003/details,100003,Wrangler Grey Striped Formal Shirt,2098,1195,43,Wrangler,62.14,32,In Stock,Professional shirt engineered for all-day comfort. The fabric resists wrinkles while maintaining shape.,Wrangler Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Grey,4.6,1366,Formal Shirt,Short Sleeve,Slim,Cotton Blend,Classic Collar,Striped,Machine Wash,Button,Office,Classic Collar,Men,,,Office,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,43,95,204,341,683,Men,,527,,,Shirts,Formal Shirt,Men,Office,,https://assets.myntra.com/images/100003/1.jpg,https://assets.myntra.com/images/100003/2.jpg,https://assets.myntra.com/images/100003/3.jpg,BILL100003,Grey
PROD100004,2023-11-26T00:00:00,https://myntra.com/product/100004,https://myntra.com/product/100004/details,100004,Highlander Black Striped V-Neck T-Shirt,712,491,31,Highlander,70.84,33,In Stock,Modern casual t-shirt with clean lines. Quality construction ensures longevity and lasting comfort.,Highlander Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Black,4.4,3238,V-Neck T-Shirt,Sleeveless,Slim,Cotton,Polo Collar,Striped,Machine Wash,,Casual,,Men,,,Casual,,Sleeveless,Set-In,"Machine wash cold, tumble dry low",,99,226,485,809,1619,Men,,761,,,Tshirts,V-Neck T-Shirt,Men,Casual,,https://assets.myntra.com/images/100004/1.jpg,https://assets.myntra.com/images/100004/2.jpg,https://assets.myntra.com/images/100004/3.jpg,BILL100004,Black
PROD100005,2023-11-13T00:00:00,https://myntra.com/product/100005,https://myntra.com/product/100005/details,100005,Blackberrys Black Checked Formal Trousers,2880,2361,18,Blackberrys,29.38,35,In Stock,Timeless trousers essential for any professional wardrobe. Superior construction with attention to detail.,Blackberrys Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Black,3.0,1599,Formal Trousers,,Regular,Wool Blend,,Checked,Machine Wash,Button,Office,,Men,Mid Rise,,Office,,,,"Machine wash cold, tumble dry low",,51,111,239,399,799,Men,Myntra,980,,,Trousers,Formal Trousers,Men,Office,,https://assets.myntra.com/images/100005/1.jpg,https://assets.myntra.com/images/100005/2.jpg,https://assets.myntra.com/images/100005/3.jpg,BILL100005,Black
PROD100006,2023-11-02T00:00:00,https://myntra.com/product/100006,https://myntra.com/product/100006/details,100006,Highlander Grey Checked Casual Trousers,3753,2964,21,Highlander,20.25,34,In Stock,Timeless trousers essential for any professional wardrobe. Superior construction with attention to detail.,Highlander Official Store,https://myntra.com/trousers,https://myntra.com/trousers,Grey,3.8,4914,Casual Trousers,,Tailored,Cotton,,Checked,Machine Wash,Button,Office,,Men,High Rise,,Office,,,,"Machine wash cold, tumble dry low",,149,343,737,1228,2457,Men,,337,,,Trousers,Casual Trousers,Men,Office,,https://assets.myntra.com/images/100006/1.jpg,https://assets.myntra.com/images/100006/2.jpg,https://assets.myntra.com/images/100006/3.jpg,BILL100006,Grey
PROD100007,2023-11-05T00:00:00,https://myntra.com/product/100007,https://myntra.com/product/100007/details,100007,Reebok Blue Checked Checked Shirt,2782,973,65,Reebok,5.78,29,In Stock,Classic shirt designed for the modern gentleman. Offers comfort and style for professional settings.,Reebok Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Blue,3.4,1591,Checked Shirt,Short Sleeve,Regular,Cotton Blend,Button-Down Collar,Checked,Machine Wash,Button,Formal,Button-Down Collar,Men,,,Formal,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,50,111,238,397,795,Men,,,,,Shirts,Checked Shirt,Men,Formal,,https://assets.myntra.com/images/100007/1.jpg,https://assets.myntra.com/images/100007/2.jpg,https://assets.myntra.com/images/100007/3.jpg,BILL100007,Blue
PROD100008,2023-11-08T00:00:00,https://myntra.com/product/100008,https://myntra.com/product/100008/details,100008,Wrangler Blue Solid Formal Shirt,3706,2483,33,Wrangler,39.91,36,Out of Stock,Professional shirt engineered for all-day comfort. The fabric resists wrinkles while maintaining shape.,Wrangler Official Store,https://myntra.com/shirts,https://myntra.com/shirts,Blue,3.0,348,Formal Shirt,Short Sleeve,Tailored,Cotton,Classic Collar,Solid,Machine Wash,Button,Formal,Classic Collar,Men,,,Formal,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,11,24,52,87,174,Men,,362,,,Shirts,Formal Shirt,Men,Formal,,https://assets.myntra.com/images/100008/1.jpg,https://assets.myntra.com/images/100008/2.jpg,https://assets.myntra.com/images/100008/3.jpg,BILL100008,Blue
PROD100009,2023-11-03T00:00:00,https://myntra.com/product/100009,https://myntra.com/product/100009/details,100009,Jack & Jones Grey Graphic Crew Neck T-Shirt,3637,2582,29,Jack & Jones,4.45,38,In Stock,Comfortable t-shirt perfect for active lifestyles. Breathable fabric keeps you cool throughout the day.,Jack & Jones Official Store,https://myntra.com/tshirts,https://myntra.com/tshirts,Grey,3.5,3186,Crew Neck T-Shirt,Short Sleeve,Regular,Polyester,Round Neck,Graphic,Machine Wash,,Casual,,Men,,,Casual,,Short Sleeve,Set-In,"Machine wash cold, tumble dry low",,97,223,477,796,1593,Men,,114,,,Tshirts,Crew Neck T-Shirt,Men,Casual,,https://assets.myntra.com/images/100009/1.jpg,https://assets.myntra.com/images/100009/2.jpg,https://assets.myntra.com/images/100009/3.jpg,BILL100009,Grey
